H2,CH4,C2H2,C2H4,C2H6,Fault,CH4/H2,C2H2/C2H4,C2H4/C2H6
1.0,1069.0,2.48,12.0,875.0,T1,1069.0,0.20666666666666667,0.013714285714285714
7940.0,1110.0,3.0,66.0,207.0,T1,0.1397984886649874,0.045454545454545456,0.3188405797101449
210.0,162.0,3675.0,4.0,0.98,NF,0.7714285714285715,918.75,4.081632653061225
22.04,149.6,52.0,4.0,4.0,NF,6.787658802177859,13.0,1.0
60.0,271385.0,655.0,600.0,5.2,NF,4523.083333333333,1.0916666666666666,115.38461538461539
1585.0,255.0,2.0,1901.0,35.0,NF,0.1608832807570978,0.0010520778537611783,54.31428571428572
1585.0,10.94,2.33,478904.0,6.58,NF,0.006902208201892744,4.865275712877738e-06,72781.76291793313
755.0,2313.0,540711.0,45.0,29.8,NF,3.063576158940397,12015.8,1.5100671140939597
1.6,18342.0,9.6,10.0,2308.92,T1,11463.75,0.96,0.004331029225785215
138560.0,278.53,321.0,388782.0,0.0,PDT1,0.0020101760969976905,0.0008256555087426887,0.0
90.0,4000.0,0.0,7.24,0.0,T1,44.44444444444444,0.0,0.0
470.0,223.6,1600.0,11.0,56.0,T1,0.4757446808510638,145.45454545454547,0.19642857142857142
441916.0,44.14,8.0,11.0,1010.0,PDT1,9.988323572805691e-05,0.7272727272727273,0.01089108910891089
290.0,58.0,3.1,5.5,259.0,T1,0.2,0.5636363636363636,0.021235521235521235
135.65,100.0,0.0,1.0,26.0,T1,0.7371913011426465,0.0,0.038461538461538464
2238.0,765.0,113.0,36.43,0.0,T1,0.3418230563002681,3.1018391435629975,0.0
37800.0,4000.0,3600.0,34257.0,277.0,NF,0.10582010582010581,0.10508801120938786,123.67148014440433
38.0,1230.0,647129.0,74.85,8000.0,T1,32.36842105263158,8645.67802271209,0.00935625
700.0,123.0,5.9,6.0,4.0,NF,0.1757142857142857,0.9833333333333334,1.5
57.0,1.0,16.0,8.0,221.2,PDT1,0.017543859649122806,2.0,0.03616636528028933
40280.0,7870.0,5500.0,957.0,250.0,D1,0.19538232373386297,5.747126436781609,3.828
50.0,735.0,83.0,304.0,19.4,NF,14.7,0.2730263157894737,15.670103092783506
46.13,10500.0,124.0,18.8,2.71,NF,227.61760242792107,6.595744680851063,6.937269372693727
1027.0,24.45,0.0,461.0,619.0,T1,0.023807205452775072,0.0,0.7447495961227787
120.0,22400.0,17.0,14.0,2.71,NF,186.66666666666666,1.2142857142857142,5.166051660516605
5760.0,966.0,13.0,6.0,5188.0,T1,0.16770833333333332,2.1666666666666665,0.001156515034695451
360.0,7.01,2293.0,4510.0,40.0,NF,0.01947222222222222,0.5084257206208426,112.75
545.0,280.0,3.91,73.0,226.0,T1,0.5137614678899083,0.05356164383561644,0.3230088495575221
1084.0,10.0,130.0,3800.0,0.7,NF,0.00922509225092251,0.034210526315789476,5428.571428571429
15.9,1600.0,8.0,820.0,25.0,T3,100.62893081761005,0.00975609756097561,32.8
1550.0,4980.0,11.0,2483.26,189531.0,T1,3.2129032258064516,0.004429661010123789,0.013102131049801881
523.0,1110.0,16.0,7330.0,8000.0,T1,2.1223709369024855,0.00218281036834925,0.91625
40000.0,995.0,97.0,2861.0,1.0,NF,0.024875,0.03390422929045788,2861.0
390.0,8.0,76.0,400.0,79.0,NF,0.020512820512820513,0.19,5.063291139240507
4419.0,400.0,96.93,957.0,5.4,NF,0.09051821679112922,0.10128526645768025,177.2222222222222
78.0,44.14,4040.0,614.1,2025.0,T1,0.5658974358974359,6.578733105357434,0.3032592592592593
20.37,163.0,24.6,4.0,5.2,T1,8.001963672066765,6.15,0.7692307692307692
2366.0,162.0,0.2,140.0,4266.0,PDT1,0.06846999154691462,0.0014285714285714286,0.032817627754336616
11.0,120.0,25.0,400.0,0.0,T1,10.909090909090908,0.0625,0.0
210.0,2397.0,299.0,0.0,1.6,T1,11.414285714285715,0.0,0.0
3417.62,120.0,330.0,2810.0,0.0,PDT1,0.03511215407213207,0.11743772241992882,0.0
26788.0,1028.0,8.0,3.0,12.0,T1,0.03837539196655219,2.6666666666666665,0.25
755.0,2800.0,705.0,36.43,212.0,T1,3.7086092715231787,19.352182267362064,0.17183962264150943
20.37,700.0,179851.0,153.0,72.4,NF,34.36426116838488,1175.4967320261437,2.113259668508287
400.0,62.6,19.0,553.0,32.0,NF,0.1565,0.034358047016274866,17.28125
8200.0,345.0,22.0,42100.0,0.0,PDT1,0.04207317073170732,0.0005225653206650831,0.0
3420.0,160.0,2000.0,4.5,0.0,PDT1,0.04678362573099415,444.44444444444446,0.0
385.0,36.1,0.1,600.0,875.0,T1,0.09376623376623378,0.0001666666666666667,0.6857142857142857
5054.0,39.0,7.3,8.0,2308.92,PDT1,0.007716660071230708,0.9125,0.0034648233806281723
1570.0,706.0,138.0,27.0,46.1,T1,0.4496815286624204,5.111111111111111,0.5856832971800434
60.0,10.0,11.0,13500.0,22.0,NF,0.16666666666666666,0.0008148148148148148,613.6363636363636
523.0,32.0,537988.0,183.3,3.87,NF,0.06118546845124283,2935.0136388434257,47.36434108527132
0.0,120.0,3.3,14.0,68.0,T1,0.0,0.2357142857142857,0.20588235294117646
800.0,395.0,52.48,1443.0,167.0,NF,0.49375,0.03636867636867637,8.640718562874252
